nohup: ignoring input
2025-07-04 07:44:27,326 INFO     Starting server at tcp:port=8000:interface=127.0.0.1
2025-07-04 07:44:27,326 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2025-07-04 07:44:27,326 INFO     Configuring endpoint tcp:port=8000:interface=127.0.0.1
2025-07-04 07:44:27,327 INFO     Listening on TCP address 127.0.0.1:8000
127.0.0.1:45930 - - [04/Jul/2025:07:47:39] "WSCONNECTING /ws/game-socket/484/" - -
127.0.0.1:45922 - - [04/Jul/2025:07:47:39] "GET /api/bingo/api/get-game-data/" 200 19
127.0.0.1:45930 - - [04/Jul/2025:07:47:39] "WSCONNECT /ws/game-socket/484/" - -
127.0.0.1:45930 - - [04/Jul/2025:07:47:40] "WSDISCONNECT /ws/game-socket/484/" - -
127.0.0.1:45942 - - [04/Jul/2025:07:47:40] "GET /api/bingo/api/get-game-data/" 200 19
127.0.0.1:45946 - - [04/Jul/2025:07:47:40] "GET /api/bingo/api/get-game-data/" 200 19
127.0.0.1:45948 - - [04/Jul/2025:07:47:40] "GET /api/bingo/api/get-game-data/" 200 19
127.0.0.1:45954 - - [04/Jul/2025:07:47:40] "GET /api/bingo/api/start-game/10/" 200 81
127.0.0.1:45964 - - [04/Jul/2025:07:47:41] "GET /api/bingo/api/get-game-data/" 200 26
127.0.0.1:45978 - - [04/Jul/2025:07:47:41] "GET /api/bingo/api/get-game-stats/485/" 200 183
127.0.0.1:45980 - - [04/Jul/2025:07:47:41] "GET /api/bingo/api/get-game-data/" 200 26
127.0.0.1:45994 - - [04/Jul/2025:07:47:41] "WSCONNECTING /ws/game-socket/485/" - -
127.0.0.1:45994 - - [04/Jul/2025:07:47:41] "WSCONNECT /ws/game-socket/485/" - -
127.0.0.1:34360 - - [04/Jul/2025:07:47:43] "WSDISCONNECT /ws/game-socket/484/" - -
127.0.0.1:46010 - - [04/Jul/2025:07:47:43] "GET /api/bingo/api/get-game-data/" 200 26
127.0.0.1:46012 - - [04/Jul/2025:07:47:43] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:46024 - - [04/Jul/2025:07:47:43] "GET /api/bingo/api/get-game-data/" 200 26
127.0.0.1:46028 - - [04/Jul/2025:07:47:43] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:46036 - - [04/Jul/2025:07:47:43] "GET /api/bingo/api/get-game-data/" 200 26
127.0.0.1:46038 - - [04/Jul/2025:07:47:43] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:46070 - - [04/Jul/2025:07:47:43] "GET /api/bingo/api/get-game-data/" 200 26
127.0.0.1:46052 - - [04/Jul/2025:07:47:43] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:46114 - - [04/Jul/2025:07:47:43] "WSCONNECTING /ws/game-socket/484/" - -
127.0.0.1:46060 - - [04/Jul/2025:07:47:43] "POST /api/auth/verify-init-data/" 200 605
